"","GEOID","Pop_total","Limited_Eng_per","Poverty_per","Uninsured_per","NonHisp_asian_per","NonHisp_pi_per","NonHisp_black_per","NonHisp_white_per","Hisp_per","NonHisp_ai_per"
"1198","06037406402",2043,11.9791666666667,1.95790504160548,1.9,9.10425844346549,0,1.76211453744493,30.1027900146843,53.5487028879099,0
"1199","06037406411",2002,21.3665943600868,4.87927565392354,12.1,18.4315684315684,0,2.14785214785215,18.4815184815185,57.4425574425574,0
"1200","06037406412",2123,15.9610705596107,6.87706076307113,5.4,25.4357041921809,0,1.64861045690061,21.6203485633537,50.4474799811587,0
"1201","06037406500",6655,16.708941027267,5.73634024519449,6.1,23.5612321562735,0,3.59128474830954,9.58677685950413,57.5507137490609,0.495867768595041
"1202","06037406601",5550,12.9038461538462,11.5756801168523,8.9,18.6666666666667,0,3.47747747747748,17.2792792792793,58.4324324324324,0.468468468468468
"1203","06037406602",5198,28.9944356120827,6.99556754673347,6.3,22.1431319738361,0,0.307810696421701,11.3312812620239,65.6983455175067,0.15390534821085
"1204","06037406701",3082,16.5766374071573,4.47858777378228,2.9,22.55029201817,0.0324464633354964,8.66320571057755,8.56586632057106,58.5983127839066,0.162232316677482
"1205","06037406702",6375,20.7800829875519,5.25535420098847,8.9,22.7921568627451,2.32156862745098,2.33725490196078,12.8470588235294,57.2549019607843,0
"1206","06037406800",4866,16.3593481989708,8.08699324324324,4.5,26.8803945745993,0.986436498150432,2.38388820386354,10.9330045211673,57.7065351418002,0
"1207","06037406901",4773,33.3709386281588,14.1090146750524,10,16.3628745024094,0,2.05321600670438,3.41504294992667,77.1632097213493,0
"1208","06037406902",3584,27.167458432304,11.2521150592217,10,15.1506696428571,3.34821428571429,1.14397321428571,5.21763392857143,72.8515625,0
"1209","06037407001",6284,28.7373996241244,14.2446502714788,11.3,5.49013367281986,0,0.381922342457034,1.54360280076384,92.0273711012094,0
"1210","06037407002",3436,35.239852398524,12.3981373690338,10.4,10.7101280558789,0.116414435389988,0.756693830034924,3.17229336437718,84.4586728754366,0
"1211","06037407101",4883,27.5112927511293,18.7576875768758,11.6,8.25312308007373,0,0.696293262338726,3.97296743805038,87.0776162195372,0
"1212","06037407102",5710,30.8375874456419,4.52305526223161,13.3,16.4273204903678,0,1.01576182136602,2.01401050788091,78.5288966725044,0.507880910683012
"1213","06037407200",6910,33.9705659232286,14.8409893992933,15.9,8.33574529667149,0,0.0289435600578871,4.65991316931983,86.9753979739508,0
"1214","06037407301",4949,18.3733055265902,9.29006085192698,6.5,16.0234390786017,0.101030511214387,1.01030511214387,4.70802182259042,76.7225702162053,0
"1215","06037407302",3503,24.8701497097464,11.7207698937087,6.8,11.0762203825293,0.228375677990294,1.65572366542963,1.37025406794176,85.6694262061091,0
"1216","06037407400",1977,26.8617021276596,3.13606474456247,7.1,28.6798179059181,1.26454223571067,5.91805766312595,11.2291350531108,45.1694486595852,0
"1217","06037407501",4257,33.9769307923771,9.39628846605591,9.4,15.5743481324877,0,1.29198966408269,4.6041813483674,78.4355179704017,0
"1218","06037407502",4170,29.6918065647707,9.71223021582734,11,7.48201438848921,0,2.56594724220624,4.60431654676259,84.652278177458,0
"1219","06037407601",4608,31.6678232708767,20.7465277777778,17.1,11.71875,0.564236111111111,1.41059027777778,2.56076388888889,83.7456597222222,0
"1220","06037407602",3993,24.6358292869921,4.63310793889306,11.4,12.0961682945154,1.32732281492612,2.40420736288505,2.37916353618833,80.1152016028049,0.67618332081142
"1221","06037407701",4903,41.3288049246444,19.4467213114754,20.6,13.1552110952478,0.693452987966551,0.305935141749949,2.75341627574954,83.0919844992862,0
"1222","06037407702",6744,24.3671900032041,10.1732895129967,10.5,14.7241992882562,0,0.622775800711744,7.23606168446026,76.3048635824436,0.637603795966785
"1223","06037407801",5727,24.6072307401098,11.9085035795355,10.4,24.1836912868867,0,1.04766893661603,3.10808451196089,68.9191548803911,0.139689191548804
"1224","06037407802",3476,31.5358982126628,5.23590333716916,12.1,14.7871116225547,1.409666283084,1.2945914844649,3.97008055235903,77.2439585730725,1.20828538550058
"1225","06037407900",6082,24.8902160548041,7.47031662269129,9.5,21.9171325221966,0.657678395264716,4.99835580401184,5.04768168365669,66.9023347583032,0
"1226","06037408003",4577,18.5700802265219,5.55191256830601,11.6,27.5944942101813,0,6.22678610443522,4.98142888354818,61.0225038234652,0
"1227","06037408004",2493,19.1434689507495,6.18971061093248,11,36.5022061772964,0,10.7099879663057,6.61853188929001,44.5246690734055,0
"1228","06037408005",5161,25.5185034566897,5.94310210444271,11.4,40.2441387328037,0,5.44468126332106,12.2263127300911,37.5702383259058,0
