"GEOID","Pop_total","Limited_Eng","B16004_001E","Poverty","B17021_001E","Uninsured","B27010_001E","NonHisp_asian","NonHisp_pi","NonHisp_black","NonHisp_white","Hisp","NonHisp_ai","Male","Female","Age_5under","Age_5to14","Age_15to17","Age_18to20","Age_21to64","Age_65above","vac_per"
"060375714002",717,0,658,10,717,8,717,112,0,22,246,337,0,433,284,59,101,0,24,369,164,64.6
"060375718001",1210,33,1198,13,1210,91,1210,194,0,96,678,195,0,557,653,12,174,37,0,714,273,61.3
"060371342013",2044,515,1850,254,2041,261,2044,302,0,61,320,1279,0,1185,859,194,282,82,77,1313,96,58.6
"060375717013",2268,153,2074,327,2268,182,2268,332,41,289,364,1242,0,1171,1097,194,184,96,116,1413,265,61.3
"060375727004",1892,301,1756,264,1892,217,1892,1297,0,102,58,413,0,920,972,136,186,48,99,1115,308,61.3
"060375731002",3886,380,3542,534,3886,562,3886,199,0,705,215,2709,0,1869,2017,344,506,200,119,2520,197,61.3
"060375731003",1200,116,1128,196,1053,70,1200,176,0,151,185,660,0,632,568,72,196,13,31,720,168,61.3
"060375740001",750,0,692,66,750,7,750,34,0,60,475,148,0,388,362,58,69,28,24,428,143,61.3
"060375740005",1337,0,1296,18,1337,29,1337,127,0,46,841,216,0,669,668,41,118,60,62,796,260,61.3
"060375749013",1230,0,1146,107,1230,20,1230,207,0,0,672,273,0,634,596,84,151,44,72,743,136,61.3
"060375752011",1428,174,1384,109,1407,166,1428,319,0,222,4,863,0,741,687,44,292,36,63,888,105,61.3
"060377025011",961,66,893,2,961,131,961,83,0,1,475,295,0,427,534,68,0,42,58,750,43,81.3
"060377025014",2194,15,2097,18,2194,0,2194,351,0,96,1379,368,0,1116,1078,97,422,47,92,1206,330,81.3
"060379007053",530,14,518,37,530,89,530,0,0,43,90,257,106,271,259,12,80,9,70,345,14,45.8
"060374631023",1003,136,891,152,1003,102,1003,196,0,36,296,475,0,469,534,112,87,2,0,597,205,71.5
"060372911201",2407,443,2202,552,2407,397,2407,28,0,793,31,1555,0,1191,1216,205,282,140,125,1471,184,55.4
"060372406001",1454,363,1250,255,1454,265,1454,0,0,279,0,1175,0,646,808,204,284,54,50,759,103,47.8
"060372407004",1421,226,1287,552,1421,246,1421,29,0,354,0,1038,0,696,725,134,298,119,8,773,89,47.8
"060372421001",2852,385,2625,1879,2852,298,2852,0,39,648,4,2161,0,1196,1656,227,759,295,222,1240,109,45.5
"060376037031",781,47,751,30,781,14,781,259,0,7,155,235,36,341,440,30,98,41,20,467,125,56.8
"060374615012",1202,93,1158,104,1202,150,1202,93,0,378,207,491,0,497,705,44,115,67,47,725,204,72.9
"060372674031",2102,69,2062,432,2095,109,2102,609,0,113,1039,280,0,1223,879,40,13,12,25,1878,134,72.7
