"GEOID","B16004_001E","B16004_001M","B16004_007E","B16004_007M","B16004_008E","B16004_008M","B16004_012E","B16004_012M","B16004_013E","B16004_013M","B16004_017E","B16004_017M","B16004_018E","B16004_018M","B16004_022E","B16004_022M","B16004_023E","B16004_023M","B16004_029E","B16004_029M","B16004_030E","B16004_030M","B16004_034E","B16004_034M","B16004_035E","B16004_035M","B16004_039E","B16004_039M","B16004_040E","B16004_040M","B16004_044E","B16004_044M","B16004_045E","B16004_045M","B16004_051E","B16004_051M","B16004_052E","B16004_052M","B16004_056E","B16004_056M","B16004_057E","B16004_057M","B16004_061E","B16004_061M","B16004_062E","B16004_062M","B16004_066E","B16004_066M","B16004_067E","B16004_067M","B17021_001E","B17021_001M","B17021_002E","B17021_002M","B27010_001E","B27010_001M","B27010_017E","B27010_017M","B27010_033E","B27010_033M","B27010_050E","B27010_050M","B27010_066E","B27010_066M","B03002_001E","B03002_001M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_004E","B03002_004M","B03002_003E","B03002_003M","B03002_012E","B03002_012M","B03002_005E","B03002_005M"
"060371992022",1329,287,7,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,61,49,59,46,0,12,0,12,43,31,16,16,0,12,0,12,46,49,55,52,0,12,0,12,0,12,41,33,0,12,0,12,1385,306,188,86,1362,282,42,29,174,101,21,18,0,12,1392,305,193,115,0,12,25,28,236,164,893,234,0,12
"060372013022",1000,275,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,54,57,0,12,0,12,0,12,12,15,0,12,0,12,0,12,29,31,0,12,0,12,0,12,1028,282,212,212,1028,282,0,12,0,12,34,41,0,12,1028,282,702,291,0,12,8,13,161,79,148,75,0,12
"060372074001",1518,403,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,55,65,29,37,0,12,0,12,20,27,0,12,0,12,0,12,2,4,0,12,0,12,0,12,12,18,25,30,0,12,0,12,704,97,159,74,704,97,0,12,93,68,11,17,0,12,1539,400,182,78,5,8,396,148,232,107,687,232,11,17
"060372089031",2384,410,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,661,230,451,230,0,12,0,12,0,12,0,12,0,12,0,12,50,45,41,43,0,12,4,10,15,24,0,12,0,12,0,12,2437,428,935,357,2437,428,65,80,598,230,326,169,0,12,2518,435,101,84,0,12,90,74,105,73,2218,420,0,12
"060372100102",1047,305,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,229,108,44,35,0,12,0,12,0,12,0,12,0,12,0,12,15,22,43,47,0,12,0,12,0,12,0,12,0,12,0,12,1084,338,113,91,1084,338,0,12,196,121,110,103,0,12,1084,338,31,32,0,12,8,15,9,14,1036,323,0,12
"060371918202",1164,302,20,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,138,99,0,12,0,12,0,12,0,12,0,12,0,12,0,12,35,43,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1220,341,100,52,1220,341,0,12,44,35,106,85,16,25,1220,341,61,77,0,12,84,56,327,146,718,327,10,15
"060371925102",2019,404,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,270,151,117,116,0,12,0,12,83,66,73,103,0,12,0,12,95,63,28,36,0,12,11,17,24,40,0,12,0,12,0,12,2154,462,582,314,2154,462,46,78,68,96,347,177,14,24,2154,462,593,279,0,12,0,12,98,57,1398,451,0,12
"060371926101",1391,347,53,66,0,12,0,12,0,12,0,12,0,12,0,12,0,12,332,185,79,59,0,12,0,12,0,12,0,12,0,12,0,12,19,21,53,53,8,12,0,12,0,12,0,12,0,12,0,12,1459,368,303,268,1459,368,32,58,119,77,175,124,0,12,1459,368,127,70,0,12,29,32,83,55,1176,416,0,12
"060371945001",906,128,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,21,0,12,29,23,12,20,0,12,0,12,4,7,0,12,893,133,73,43,893,133,0,12,0,12,5,8,0,12,944,135,59,60,0,12,84,63,642,125,116,91,0,12
"060375425021",1017,293,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,57,54,94,88,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,32,0,12,0,12,0,12,0,12,0,12,0,12,1118,305,185,175,1118,305,37,45,56,50,59,53,18,32,1118,305,4,27,0,12,474,217,21,24,606,271,0,12
"060375425023",811,327,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,26,32,13,21,0,12,0,12,0,12,0,12,0,12,0,12,14,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,893,368,352,213,893,368,10,17,86,87,61,51,0,12,893,368,0,12,0,12,427,217,0,12,430,301,17,30
"060375426011",831,252,0,12,0,12,0,12,0,12,9,15,0,12,0,12,0,12,49,40,89,76,0,12,0,12,9,15,0,12,0,12,0,12,4,6,5,7,0,12,0,12,0,12,0,12,0,12,0,12,912,273,310,185,912,273,20,22,10,16,145,66,0,12,912,273,47,60,0,12,185,134,29,43,651,274,0,12
