"GEOID","CSA_Name","Block_Code","Current_Agency","Current_Outreach","Current_Outreach_Date","ZIP"
"060371112052","Los Angeles - Northridge",10321,,,"March 25, 2022",91325
"060371112053","Los Angeles - Northridge",7850,,,"March 25, 2022",91325
"060371112061","Los Angeles - Porter Ranch",9199,,,"March 25, 2022",91326
"060371112062","Los Angeles - Porter Ranch",10339,,,"March 25, 2022",91326
"060371112063","Los Angeles - Porter Ranch",10338,,,"March 25, 2022",91326
"060371112064","Los Angeles - Porter Ranch",10318,,,"March 25, 2022",91326
"060371112065","Los Angeles - Porter Ranch",8874,,,"March 25, 2022",91326
"060371113011","Los Angeles - Granada Hills",10260,,,"March 25, 2022",91344
"060371113012","Los Angeles - Granada Hills",5753,,,"March 25, 2022",91326
"060371113013","Los Angeles - Granada Hills",8669,,,"March 25, 2022",91344
"060371113014","Los Angeles - Granada Hills",5793,,,"March 25, 2022",91344
"060371113021","Los Angeles - Northridge",10261,,,"March 25, 2022",91325
"060371113022","Los Angeles - Northridge",5857,,,"March 25, 2022",91325
"060371114001","Los Angeles - North Hills",9182,,,"March 25, 2022",91343
"060371114002","Los Angeles - Granada Hills",8880,,,"March 25, 2022",91344
"060371114003","Los Angeles - Granada Hills",3708,,,"March 25, 2022",91344
"060371131011","Los Angeles - Chatsworth",7731,,,"March 25, 2022",91311
"060371131012","Los Angeles - Chatsworth",7936,,1,"March 25, 2022",91311
"060371131021","Los Angeles - Chatsworth",7947,,,"March 25, 2022",91311
"060371131022","Los Angeles - Chatsworth",7927,,,"March 25, 2022",91311
"060371132111","Los Angeles - Chatsworth",9555,,,"March 25, 2022",91311
"060371132112","Los Angeles - Chatsworth",9235,,,"March 25, 2022",91311
"060371132121","Los Angeles - Chatsworth",6794,,,"March 25, 2022",91311
"060371132122","Los Angeles - Chatsworth",6692,,,"March 25, 2022",91311
"060371132131","Los Angeles - Chatsworth",6968,,,"March 25, 2022",91311
"060371132132","Los Angeles - Chatsworth",8889,,,"March 25, 2022",91311
"060371132311","Unincorporated - West Chatsworth",10240,,,"March 25, 2022",91304
"060371132312","Los Angeles - West Hills",10194,,,"March 25, 2022",91304
"060371132321","Los Angeles - West Hills",8816,,,"March 25, 2022",91304
"060371132322","Los Angeles - West Hills",7875,,,"March 25, 2022",91304
"060371132331","Los Angeles - Canoga Park",1509,,99,"March 25, 2022",91304
"060371132332","Los Angeles - Canoga Park",4327,,1,"March 25, 2022",91304
"060371132333","Los Angeles - Canoga Park",3420,,,"March 25, 2022",91304
"060371132341","Los Angeles - Canoga Park",6242,,,"March 25, 2022",91304
"060371132342","Los Angeles - Canoga Park",2414,,,"March 25, 2022",91304
"060371132351","Unincorporated - Lake Manor",10343,,,"March 25, 2022",91304
"060371132371","Los Angeles - Chatsworth",7734,,,"March 25, 2022",91311
"060371132372","Los Angeles - Chatsworth",10366,,1,"March 25, 2022",91311
"060371133011","Los Angeles - Northridge",10220,,,"March 25, 2022",91324
"060371133012","Los Angeles - Northridge",6658,,1,"March 25, 2022",91324
"060371133031","Los Angeles - Chatsworth",8948,,,"March 25, 2022",91311
"060371133032","Los Angeles - Chatsworth",8697,,,"March 25, 2022",91311
"060371133211","Los Angeles - Chatsworth",4796,,,"March 25, 2022",91311
"060371133212","Los Angeles - Chatsworth",6730,,,"March 25, 2022",91311
"060371133221","Los Angeles - Chatsworth",10223,,,"March 25, 2022",91311
"060371133222","Los Angeles - Chatsworth",7630,,,"March 25, 2022",91311
"060371134011","Los Angeles - Northridge",8562,,,"March 25, 2022",91324
"060371134012","Los Angeles - Winnetka",6682,,,"March 25, 2022",91324
"060371134013","Los Angeles - Winnetka",5566,,,"March 25, 2022",91306
"060371134211","Los Angeles - Canoga Park",1697,,,"March 25, 2022",91304
"060371134212","Los Angeles - Winnetka",5698,,,"March 25, 2022",91311
"060371134213","Los Angeles - Canoga Park",3568,,,"March 25, 2022",91304
"060371134221","Los Angeles - Winnetka",5706,,2,"March 25, 2022",91306
"060371134222","Los Angeles - Canoga Park",1680,,1,"March 25, 2022",91304
"060371134223","Los Angeles - Winnetka",7675,,,"March 25, 2022",91306
"060371134224","Los Angeles - Winnetka",4734,,,"March 25, 2022",91306
"060371151011","Los Angeles - Northridge",10232,,,"March 25, 2022",91325
"060371151012","Los Angeles - Northridge",10233,,,"March 25, 2022",91325
"060371151013","Los Angeles - Northridge",7898,,,"March 25, 2022",91325
"060371151031","Los Angeles - Northridge",9604,,,"March 25, 2022",91330
"060371151041","Los Angeles - Northridge",7929,,,"March 25, 2022",91325
"060371151042","Los Angeles - Northridge",4784,,,"March 25, 2022",91325
"060371152011","Los Angeles - Northridge",10235,,,"March 25, 2022",91324
"060371152012","Los Angeles - Northridge",6579,,13,"March 25, 2022",91325
"060371152013","Los Angeles - Northridge",10600,,,"March 25, 2022",91324
"060371152021","Los Angeles - Northridge",10349,,,"March 25, 2022",91324
"060371152022","Los Angeles - Northridge",8532,,,"March 25, 2022",91324
"060371152023","Los Angeles - Northridge",6784,,,"March 25, 2022",91325
"060371153011","Los Angeles - Northridge",8848,,,"March 25, 2022",91324
"060371153012","Los Angeles - Northridge",6871,,,"March 25, 2022",91324
"060371153021","Los Angeles - Northridge",3689,,1,"March 25, 2022",91324
"060371154011","Los Angeles - Northridge",4854,,,"March 25, 2022",91325
"060371154012","Los Angeles - Northridge",4808,,,"March 25, 2022",91325
"060371154031","Los Angeles - Northridge",4600,,2,"March 25, 2022",91325
"060371154041","Los Angeles - Northridge",6653,,1,"March 25, 2022",91324
"060371154042","Los Angeles - Northridge",5586,,1,"March 25, 2022",91324
"060371171011","Los Angeles - North Hills",7022,,,"March 25, 2022",91343
"060371171012","Los Angeles - North Hills",3043,"Providence Little Company of Mary Foundation",32,"March 25, 2022",91343
"060371171021","Los Angeles - North Hills",5022,,,"March 25, 2022",91343
"060371171022","Los Angeles - North Hills",4208,,,"March 25, 2022",91343
"060371172011","Los Angeles - North Hills",2319,"Providence Little Company of Mary Foundation",5,"March 25, 2022",91343
"060371172012","Los Angeles - North Hills",5039,,,"March 25, 2022",91343
"060371172021","Los Angeles - North Hills",6073,"Providence Little Company of Mary Foundation",,"March 25, 2022",91343
"060371172022","Los Angeles - North Hills",8041,,,"March 25, 2022",91343
"060371173011","Los Angeles - North Hills",8003,,,"March 25, 2022",91343
"060371173012","Los Angeles - North Hills",5146,,,"March 25, 2022",91343
"060371173013","Los Angeles - North Hills",7121,,,"March 25, 2022",91343
"060371173021","Los Angeles - Northridge",8593,,,"March 25, 2022",91343
"060371173022","Los Angeles - Northridge",6626,,,"March 25, 2022",91343
"060371173023","Los Angeles - Northridge",8679,,,"March 25, 2022",91343
"060371173024","Los Angeles - Northridge",6862,,,"March 25, 2022",91343
"060371173031","Los Angeles - North Hills",5150,,,"March 25, 2022",91343
"060371173032","Los Angeles - North Hills",6003,,,"March 25, 2022",91343
"060371174041","Los Angeles - North Hills",10002,,,"March 25, 2022",91343
"060371174042","Los Angeles - North Hills",7082,,,"March 25, 2022",91343
"060371174043","Los Angeles - North Hills",5057,,,"March 25, 2022",91343
"060371174051","Los Angeles - North Hills",1164,"Providence Little Company of Mary Foundation",12,"March 25, 2022",91343
"060371174071","Los Angeles - North Hills",1061,"Providence Little Company of Mary Foundation",4,"March 25, 2022",91343
"060371174081","Los Angeles - North Hills",2164,,6,"March 25, 2022",91343
"060371175101","Los Angeles - North Hills",2099,"Providence Little Company of Mary Foundation",6,"March 25, 2022",91343
"060371175201","Los Angeles - North Hills",1268,"Providence Little Company of Mary Foundation",38,"March 25, 2022",91343
"060371175301","Los Angeles - North Hills",1129,,23,"March 25, 2022",91343
"060371175302","Los Angeles - North Hills",2276,"Providence Little Company of Mary Foundation",5,"March 25, 2022",91343
"060371190011","Los Angeles - Arleta",4570,,,"March 25, 2022",91331
"060371190012","Los Angeles - Arleta",5541,,,"March 25, 2022",91331
"060371190013","Los Angeles - Arleta",4550,,,"March 25, 2022",91331
"060371190021","Los Angeles - Arleta",3536,"DPH",33,"March 25, 2022",91331
"060371190022","Los Angeles - Arleta",3534,"DPH",128,"March 25, 2022",91331
"060371190023","Los Angeles - Arleta",4527,,,"March 25, 2022",91331
"060371190024","Los Angeles - Arleta",3548,"DPH",57,"March 25, 2022",91331
"060371190025","Los Angeles - Arleta",2542,"DPH",1,"March 25, 2022",91331
"060371192011","Los Angeles - Arleta",5547,,,"March 25, 2022",91331
"060371192012","Los Angeles - Arleta",4558,,,"March 25, 2022",91331
"060371192013","Los Angeles - Arleta",4555,,,"March 25, 2022",91331
"060371192021","Los Angeles - Arleta",2540,,,"March 25, 2022",91331
"060371192022","Los Angeles - Arleta",5538,,,"March 25, 2022",91331
"060371192023","Los Angeles - Arleta",4559,,1,"March 25, 2022",91331
"060371192024","Los Angeles - Arleta",2550,,1,"March 25, 2022",91331
"060371193101","Los Angeles - Panorama City",1337,,5,"March 25, 2022",91402
"060371193102","Los Angeles - Panorama City",4040,,,"March 25, 2022",91402
"060371193201","Los Angeles - Panorama City",2079,,30,"March 25, 2022",91402
"060371193401","Los Angeles - Panorama City",1007,,4,"March 25, 2022",91402
"060371193411","Los Angeles - Panorama City",3072,,7,"March 25, 2022",91402
"060371193421","Los Angeles - Panorama City",1363,"Providence Little Company of Mary Foundation",4,"March 25, 2022",91402
"060371194001","Los Angeles - Arleta",4556,,,"March 25, 2022",91331
"060371194002","Los Angeles - Arleta",4534,,,"March 25, 2022",91331
"060371194003","Los Angeles - Arleta",4536,,,"March 25, 2022",91331
"060371194004","Los Angeles - Arleta",3525,,2,"March 25, 2022",91331
"060371197001","Los Angeles - Panorama City",4137,,1,"March 25, 2022",91402
"060371197002","Los Angeles - Panorama City",4223,,,"March 25, 2022",91402
"060371197003","Los Angeles - Arleta",4224,,,"March 25, 2022",91331
"060371198001","Los Angeles - Arleta",7534,,,"March 25, 2022",91331
"060371198002","Los Angeles - Arleta",3542,,1,"March 25, 2022",91331
"060371198003","Los Angeles - Arleta",4565,,,"March 25, 2022",91331
"060371198004","Los Angeles - Arleta",4535,,,"March 25, 2022",91331
"060371198005","Los Angeles - Arleta",4561,,,"March 25, 2022",91331
"060371199001","Los Angeles - Panorama City",3218,"Providence Little Company of Mary Foundation",4,"March 25, 2022",91402
"060371199002","Los Angeles - Panorama City",7020,,,"March 25, 2022",91402
"060371199003","Los Angeles - Panorama City",4140,,,"March 25, 2022",91402
"060371199004","Los Angeles - Panorama City",7019,"Providence Little Company of Mary Foundation",,"March 25, 2022",91402
"060371200101","Los Angeles - Panorama City",2227,"Clinica Mrs. Oscar A. Romero",28,"March 25, 2022",91402
"060371200102","Los Angeles - Panorama City",3039,"Clinica Mrs. Oscar A. Romero",34,"March 25, 2022",91402
"060371200201","Los Angeles - Panorama City",1126,"Clinica Mrs. Oscar A. Romero",54,"March 25, 2022",91402
"060371200202","Los Angeles - Panorama City",1339,"Clinica Mrs. Oscar A. Romero",43,"March 25, 2022",91402
"060371200301","Los Angeles - Panorama City",1254,"Clinica Mrs. Oscar A. Romero",161,"March 25, 2022",91402
"060371201031","Los Angeles - Panorama City",1009,"Clinica Mrs. Oscar A. Romero",115,"March 25, 2022",91402
"060371201041","Los Angeles - Panorama City",2090,"Clinica Mrs. Oscar A. Romero",31,"March 25, 2022",91402
"060371201051","Los Angeles - Panorama City",1417,"Providence Little Company of Mary Foundation",11,"March 25, 2022",91402
"060371201052","Los Angeles - Panorama City",2078,"Providence Little Company of Mary Foundation",53,"March 25, 2022",91402
"060371201061","Los Angeles - Panorama City",1041,"Clinica Mrs. Oscar A. Romero",46,"March 25, 2022",91402
"060371201071","Los Angeles - Panorama City",1024,"Clinica Mrs. Oscar A. Romero",56,"March 25, 2022",91402
"060371201081","Los Angeles - Panorama City",1107,"Providence Little Company of Mary Foundation",9,"March 25, 2022",91402
"060371201082","Los Angeles - Panorama City",1140,"Clinica Mrs. Oscar A. Romero",122,"March 25, 2022",91402
"060371203001","Los Angeles - Panorama City",4132,,,"March 25, 2022",91402
"060371203002","Los Angeles - Panorama City",4200,"Providence Little Company of Mary Foundation",,"March 25, 2022",91402
"060371203003","Los Angeles - Panorama City",6020,"Providence Little Company of Mary Foundation",,"March 25, 2022",91402
"060371203004","Los Angeles - Panorama City",4024,"Providence Little Company of Mary Foundation",,"March 25, 2022",91402
"060371204001","Los Angeles - Panorama City",2091,,,"March 25, 2022",91402
"060371204002","Los Angeles - Panorama City",1433,,,"March 25, 2022",91402
"060371204003","Los Angeles - Panorama City",4157,,,"March 25, 2022",91402
"060371204004","Los Angeles - Panorama City",3215,,13,"March 25, 2022",91402
"060371210101","Los Angeles - North Hollywood",10162,,,"March 25, 2022",91605
"060371210102","Los Angeles - Sun Valley",4358,,,"March 25, 2022",91352
"060371210103","Los Angeles - North Hollywood",8161,,,"March 25, 2022",91605
"060371210104","Los Angeles - Sun Valley",7262,,,"March 25, 2022",91352
