"GEOID","Pop_total","Limited_Eng_per","Poverty_per","Uninsured_per","NonHisp_asian_per","NonHisp_pi_per","NonHisp_black_per","NonHisp_white_per","Hisp_per","NonHisp_ai_per","Male_per","Female_per","Age_5under_per","Age_5to14_per","Age_15to17_per","Age_18to20_per","Age_21to64_per","Age_65above_per"
"060372015011",1222,19.1163976210705,43.3715220949263,10.6382978723404,2.61865793780687,0,0.981996726677578,8.34697217675941,88.0523731587561,0,50.7364975450082,49.2635024549918,3.68248772504092,9.41080196399345,6.30114566284779,4.50081833060556,65.2209492635025,10.8837970540098
"060372017001",2299,5.38178472861086,18.5552407932011,5.91561548499348,16.5289256198347,0.304480208786429,8.74293170943889,20.7046541974772,50.978686385385,0,38.36450630709,61.63549369291,5.43714658547194,3.39277946933449,1.43540669856459,33.7538060026098,48.0208786428882,7.95998260113093
"060372060201",8947,3.64612459456437,13.6442141623489,7.7720207253886,3.66603330725383,0.547669609925115,30.9936291494356,18.5201743601207,43.1876606683805,0.570023471554711,96.0321895607466,3.96781043925338,0.0670615848887895,0,0.100592377333184,5.7896501620655,93.2156029954175,0.827092880295071
"060375351023",1532,13.361762615494,6.13577023498695,7.37597911227154,0,0,17.7545691906005,0,82.2454308093995,0,53.0026109660574,46.9973890339426,8.15926892950392,20.1697127937337,5.80939947780679,4.69973890339426,52.8720626631854,8.28981723237598
"060371044011",1332,29.3197810789679,13.7254901960784,14.9399399399399,2.7027027027027,0,1.05105105105105,2.85285285285285,93.3933933933934,0,57.3573573573574,42.6426426426426,3.97897897897898,15.5405405405405,3.37837837837838,2.85285285285285,63.5885885885886,10.6606606606607
"060371045002",2146,21.2550607287449,22.3205964585275,12.7679403541472,0,0,0,1.16495806150979,98.6486486486486,0.186393289841566,53.0288909599254,46.9711090400746,7.92171481826654,12.3485554520037,1.95712954333644,4.47343895619758,63.4203168685927,9.87884436160298
"060375507003",786,13.9204545454545,0,2.54452926208651,4.70737913486005,0,0,29.3893129770992,64.1221374045801,1.78117048346056,44.910941475827,55.089058524173,10.4325699745547,13.2315521628499,4.70737913486005,2.54452926208651,51.7811704834606,17.3027989821883
"060375507001",918,7.71028037383178,1.96078431372549,6.64488017429194,4.35729847494553,0,0.217864923747277,5.77342047930283,86.3834422657952,0,39.1067538126362,60.8932461873638,6.75381263616558,19.3899782135076,9.69498910675381,0.435729847494553,51.7429193899782,11.9825708061002
"060375518002",1508,4.04509283819629,1.72413793103448,4.50928381962865,2.3209549071618,0,0,30.3050397877984,66.5119363395225,0,50.132625994695,49.867374005305,0,13.9257294429708,0.928381962864721,7.36074270557029,67.5729442970822,10.2122015915119
"060374025012",3301,26.7033723331039,25.5885997521685,19.0548318691306,3.48379279006362,0,1.69645561950924,3.72614359285065,91.0936079975765,0,52.4992426537413,47.5007573462587,11.9660708876098,17.0251438957892,3.33232353832172,6.27082702211451,52.0145410481672,9.39109360799758
"060374026003",1791,20.2810018326206,19.2609182530795,4.70324748040314,1.00502512562814,0,4.85762144053601,22.9480737018425,70.7426018983808,0,50.3629257398102,49.6370742601898,8.59854829704076,10.3852596314908,1.39586823003908,6.08598548297041,63.2049134561697,10.3294249022892
"060372226003",1218,31.5045719035744,11.8869492934331,16.7487684729064,1.64203612479475,0,15.3530377668309,0.574712643678161,80.0492610837438,0,55.0903119868637,44.9096880131363,1.23152709359606,8.45648604269294,1.23152709359606,1.14942528735632,73.4811165845649,14.4499178981938
"060375338034",2058,30.8886509635974,24.529262086514,11.6030534351145,0,0.534499514091351,1.74927113702624,11.1273080660836,86.5889212827988,0,55.8309037900875,44.1690962099125,9.23226433430515,13.4110787172012,0,5.3935860058309,54.8590864917396,17.1039844509232
"060375341012",1063,40.4665314401623,45.5315145813735,39.4167450611477,6.49106302916275,0,0,0.752587017873942,92.7563499529633,0,49.6707431796802,50.3292568203198,7.24365004703669,18.6265286923801,5.17403574788335,2.44590780809031,59.2662276575729,7.24365004703669
"060372190101",1417,15.9550561797753,24.1084165477889,13.3380381086803,2.96400846859562,0,28.3697953422724,5.29287226534933,61.2561750176429,0,45.4481298517996,54.5518701482004,5.78687367678193,16.9371912491179,6.13973182780522,4.02258292166549,56.8807339449541,10.2328863796754
"060372190203",1408,20.077519379845,23.5795454545455,5.46875,1.70454545454545,0,28.6221590909091,3.26704545454545,66.40625,0,55.8948863636364,44.1051136363636,8.38068181818182,15.7670454545455,1.20738636363636,3.69318181818182,53.9772727272727,16.9744318181818
"060372314002",1761,18.2158452900811,12.599771949829,26.5758091993186,0,0,49.1766042021579,6.24645088018172,44.5769449176604,0,39.2958546280522,60.7041453719478,8.97217490062465,8.63145939806928,2.61215218625781,3.40715502555366,67.8591709256104,8.51788756388416
"060372347001",587,6.81431005110733,31.3458262350937,13.458262350937,0,0,27.93867120954,9.19931856899489,62.8620102214651,0,48.5519591141397,51.4480408858603,0,13.458262350937,0,1.87393526405451,71.3798977853492,13.2879045996593
"060374062002",2131,29.6351824087956,27.8400780107265,9.97164461247637,14.0309713749413,0,1.5954950727358,11.731581417175,71.8911309244486,0,50.8212106992023,49.1787893007977,6.10042233693102,14.8287189113092,2.72172688878461,1.78320037541061,58.376349131863,16.1895823557015
"060372032001",3838,23.5078828828829,18.1151832460733,18.9942678478374,0.338718082334549,0,1.17248566961959,1.69359041167275,96.0135487232934,0.286607608129234,52.1104742053153,47.8895257946847,7.45179781136008,15.6591974986972,5.57582073996873,3.67378843147473,58.2595101615425,9.37988535695675
"060372038004",1122,17.9580674567001,14.1711229946524,15.7754010695187,0,0,0,0,100,0,46.7023172905526,53.2976827094474,2.22816399286988,9.44741532976827,4.99108734402852,7.2192513368984,60.0713012477718,16.0427807486631
"060372047002",1448,28.6656891495601,11.1111111111111,24.2403314917127,0.69060773480663,0,1.38121546961326,1.24309392265193,96.6850828729282,0,51.9337016574586,48.0662983425414,5.80110497237569,20.9254143646409,6.07734806629834,4.07458563535912,56.4917127071823,6.62983425414365
"060372048102",1182,36.5810451727192,23.6040609137056,24.5346869712352,0,0,0,0,100,0,55.414551607445,44.585448392555,4.4839255499154,13.8747884940778,3.46869712351946,8.20642978003384,61.7597292724196,8.20642978003384
